"","geo_area_name","borough_id","rate_14","crate_14","rate_15","crate_15","rate_16","crate_16"
"1","Bayside - Little Neck",4,0,4.2,0,4.6,0,5.8
"2","Bedford Stuyvesant - Crown Heights",2,0.0714285714285714,26.9,0.0714285714285714,20.2,0.0714285714285714,19.9
"3","Bensonhurst - Bay Ridge",2,0.0909090909090909,22.8,0.0909090909090909,18.9,0.0909090909090909,17.2
"4","Borough Park",2,0.0769230769230769,41.1,0.0769230769230769,34.8,0.0769230769230769,35
"5","Canarsie - Flatlands",2,0,13.3,0,11.7,0,12.8
"6","Chelsea - Clinton",3,0,14.4,0,6.7,0,7.8
"7","Coney Island - Sheepshead Bay",2,0.0512820512820513,24.6,0.0512820512820513,20,0.0512820512820513,22.2
"8","Crotona -Tremont",1,0,17.5,0,15.1,0,13.4
"9","East Flatbush - Flatbush",2,0,25,0,23,0,22.1
"10","East New York",2,0,21.6,0,18.8,0,16.3
"11","Flushing - Clearview",4,0.101694915254237,13.5,0.101694915254237,11.5,0.101694915254237,7.7
"12","Fordham - Bronx Pk",1,0,22.2,0,17.4,0,17.5
"13","Fresh Meadows",4,0,10.8,0,10.5,0,7.7
"14","Gramercy Park - Murray Hill",3,0,7.4,0,8.1,0,3.4
"15","Greenpoint",2,0,56.1,0,51,0,51.9
"16","Greenwich Village - SoHo",3,0.5,28.1,0.5,19.2,0.5,10.6
"17","Jamaica",4,0.0731707317073171,20.9,0.0731707317073171,17.7,0.0731707317073171,17.1
"18","Kingsbridge - Riverdale",1,0,10.2,0,9.5,0,9
"19","Long Island City - Astoria",4,0,20.2,0,16.9,0,13.9
"20","Northeast Bronx",1,0,18.6,0,16.2,0,14.3
"21","Port Richmond",5,0.0952380952380952,33,0.0952380952380952,19.3,0.0952380952380952,22.6
"22","Ridgewood - Forest Hills",4,0.0576923076923077,17.6,0.0576923076923077,15.5,0.0576923076923077,13.7
"23","Rockaways",4,0.0588235294117647,18,0.0588235294117647,9.9,0.0588235294117647,10.8
"24","South Beach - Tottenville",5,0.0672268907563025,6.3,0.0672268907563025,5.3,0.0672268907563025,7.6
"25","Southeast Queens",4,0,16,0,14,0,13.1
"26","Southwest Queens",4,0.0652173913043478,21.6,0.0652173913043478,19.4,0.0652173913043478,19.7
"27","Stapleton - St. George",5,0.117647058823529,20.8,0.117647058823529,17.4,0.117647058823529,19
"28","Sunset Park",2,0,17.5,0,14.5,0,12.1
"29","Upper East Side",3,0.333333333333333,8.4,0.333333333333333,6.7,0.333333333333333,3.6
"30","West Queens",4,0.1,21.1,0.1,16.5,0.1,16.1
"31","Williamsburg - Bushwick",2,0,27.3,0,21.7,0,21.2
"32","Willowbrook",5,0.145454545454545,7.1,0.145454545454545,4,0.145454545454545,8.8
